City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Mount Gambier,AU,2022-08-08 15:58:57,-37.8333,140.7667,43.11,96,35,2.37,scattered clouds
226,Mayumba,GA,2022-08-08 15:58:58,-3.432,10.6554,72.21,78,91,6.69,overcast clouds
227,College,US,2022-08-08 15:58:58,64.8569,-147.8028,49.23,91,75,0.0,light rain
228,Shar,KZ,2022-08-08 15:58:59,49.5886,81.0453,72.05,32,14,4.79,few clouds
229,Dormidontovka,RU,2022-08-08 15:58:59,47.7702,134.9076,62.73,74,12,11.52,few clouds
230,Katsuura,JP,2022-08-08 15:59:00,35.1333,140.3,81.09,89,99,19.82,overcast clouds
231,Maniwaki,CA,2022-08-08 15:58:51,46.3834,-75.966,61.18,94,100,5.75,overcast clouds
232,Zapadnaya Dvina,RU,2022-08-08 15:59:00,56.259,32.0745,67.96,56,52,2.3,broken clouds
233,Challans,FR,2022-08-08 15:59:01,46.8436,-1.8749,90.52,20,97,14.67,overcast clouds
234,Hastings,GB,2022-08-08 15:57:28,50.8552,0.5729,81.9,47,7,14.14,clear sky
235,Gimli,CA,2022-08-08 15:59:01,50.6336,-96.9907,72.0,61,56,15.19,broken clouds
236,Pincher Creek,CA,2022-08-08 15:59:02,49.4833,-113.952,76.87,34,0,16.11,clear sky
237,Brekstad,NO,2022-08-08 15:59:02,63.687,9.6654,64.99,72,40,6.91,scattered clouds
238,Burlington,US,2022-08-08 15:57:28,39.8835,-74.6413,93.7,59,20,14.97,few clouds
239,Barahona,DO,2022-08-08 15:59:03,18.2085,-71.1008,85.82,79,75,11.5,broken clouds
240,Puchov,SK,2022-08-08 15:59:03,49.1249,18.326,73.09,60,100,7.74,overcast clouds
241,Atasu,KZ,2022-08-08 15:59:03,48.6814,71.6433,67.55,50,43,12.8,scattered clouds
242,Marsabit,KE,2022-08-08 15:59:04,2.3284,37.9899,71.56,40,63,17.0,broken clouds
243,Itaituba,BR,2022-08-08 15:59:04,-4.2761,-55.9836,91.56,58,20,11.5,few clouds
244,Gumdag,TM,2022-08-08 15:59:05,39.2061,54.5906,91.58,27,1,12.01,clear sky
245,Langenburg,DE,2022-08-08 15:59:05,49.2544,9.8458,85.84,24,0,6.91,clear sky
246,Bonthe,SL,2022-08-08 15:59:05,7.5264,-12.505,79.9,75,79,11.74,broken clouds
247,Qaanaaq,GL,2022-08-08 15:59:06,77.484,-69.3632,39.18,59,85,1.7,overcast clouds
248,Pacific Grove,US,2022-08-08 15:59:06,36.6177,-121.9166,65.34,86,3,11.99,clear sky
249,Maues,BR,2022-08-08 15:59:07,-3.3836,-57.7186,96.75,35,75,4.94,broken clouds
250,Anadyr,RU,2022-08-08 15:59:07,64.75,177.4833,37.9,86,0,4.47,clear sky
251,Santiago Del Estero,AR,2022-08-08 15:59:08,-27.7951,-64.2615,54.14,57,100,16.75,overcast clouds
252,Kirakira,SB,2022-08-08 15:59:08,-10.4544,161.9205,79.7,82,98,4.65,overcast clouds
253,Xai-Xai,MZ,2022-08-08 15:59:08,-25.0519,33.6442,75.13,41,3,6.15,clear sky
254,Banamba,ML,2022-08-08 15:59:09,13.55,-7.45,96.66,36,66,2.17,broken clouds
255,Newala,TZ,2022-08-08 15:59:09,-10.9431,39.2787,69.22,51,55,12.08,broken clouds
256,Lithakia,GR,2022-08-08 15:59:10,37.7167,20.8333,92.57,54,0,16.06,clear sky
257,Soure,BR,2022-08-08 15:59:10,-0.7167,-48.5233,85.23,65,17,7.23,few clouds
258,Sao Joao Da Barra,BR,2022-08-08 15:59:10,-21.6403,-41.0511,80.69,66,36,12.44,scattered clouds
259,Vao,NC,2022-08-08 15:59:11,-22.6667,167.4833,70.18,73,53,18.57,broken clouds
