City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Nanning,CN,80.82,scattered clouds,22.8167,108.3167,Nanning Travelling With Hostel
376,Palu,ID,75.18,light rain,-0.8917,119.8707,Hotel Santika Palu
379,Piacabucu,BR,79.05,broken clouds,-10.4056,-36.4344,Piaçabuçu News
382,Calderitas,MX,73.51,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
383,Torbay,CA,71.58,overcast clouds,47.6666,-52.7314,Gallows Cove
384,Liku,ID,74.64,heavy intensity rain,-0.7275,119.8922,Kost annisa
385,Miri,MY,78.31,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
386,Powell River,CA,70.03,clear sky,49.8496,-124.5361,Rodmay Hotel
388,Domoni,KM,75.88,clear sky,-12.2569,44.5319,Al Djadid
392,Eston,CA,78.93,clear sky,51.1501,-108.7514,Hearthside Place B&B
395,Nanakuli,US,77.11,clear sky,21.3906,-158.1547,Camp Pālehua
398,Lata,PT,83.48,clear sky,40.1629,-8.3327,Casa Maquia
399,Fukue,JP,82.45,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
402,Garden City,US,84.99,overcast clouds,42.3256,-83.331,Big Trees Mobile Home Community
403,Sapele,NG,79.79,light rain,5.8941,5.6767,Movig Hotel & Suites
404,Cabedelo,BR,79.27,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
405,Tigzirt,DZ,88.65,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
408,Bogandinskiy,RU,73.67,broken clouds,56.8937,65.8938,Alex
411,Kaputa,ZM,78.48,clear sky,-8.4689,29.6619,Chelelwa Charlets
413,Dingle,PH,74.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
414,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
416,Sinnamary,GF,86.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
420,Sun Valley,US,82.83,few clouds,39.5963,-119.776,Panther Valley RV Park
422,Kendari,ID,73.76,light rain,-3.945,122.4989,Hotel Wixel
424,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
425,Cugir,RO,70.38,overcast clouds,45.8333,23.3667,Hotel Dragana Cugir
426,Noshiro,JP,77.16,light rain,40.2039,140.0242,Suigetsu
428,Bucerias,MX,84.97,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
431,Manggar,ID,80.38,overcast clouds,-2.8833,108.2667,Guest Hotel
436,Wuwei,CN,72.09,moderate rain,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
437,Hue,VN,77.11,moderate rain,16.4667,107.6,Saigon Morin Hotel
439,Maputo,MZ,75.52,scattered clouds,-25.9653,32.5892,Pestana Rovuma
440,Huilong,CN,84.92,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
443,Guasdualito,VE,87.37,clear sky,7.2424,-70.7324,Hotel Cuibas
447,Rosarito,MX,80.42,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
448,Eydhafushi,MV,81.25,overcast clouds,5.1033,73.0708,Soneva Fushi
449,Madang,PG,77.27,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
