City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Grand-Lahou,CI,2022-08-01 15:45:04,5.1367,-5.0242,75.9,78,100,11.81
241,Andrews,US,2022-08-01 15:42:25,32.3187,-102.5457,87.08,38,0,14.97
242,Nuuk,GL,2022-08-01 15:44:31,64.1835,-51.7216,52.41,82,75,12.66
243,Moissala,TD,2022-08-01 15:45:05,8.3404,17.7663,75.69,91,85,5.41
244,Horsham,GB,2022-08-01 15:45:05,51.064,-0.3272,82.29,60,40,9.22
245,Kumta,IN,2022-08-01 15:45:05,14.4167,74.4,80.35,85,100,10.16
246,Loreto,MX,2022-08-01 15:45:06,22.2667,-101.9667,67.77,49,89,6.42
247,Nelson Bay,AU,2022-08-01 15:45:06,-32.7167,152.15,53.01,95,0,7.0
248,Troy,US,2022-08-01 15:45:07,42.6056,-83.1499,81.68,73,100,14.97
249,Giresun,TR,2022-08-01 15:45:07,40.5,38.5,53.87,84,22,9.46
250,Korla,CN,2022-08-01 15:45:08,41.7597,86.1469,79.61,43,100,16.4
251,College,US,2022-08-01 15:45:08,64.8569,-147.8028,58.28,91,75,3.44
252,Semey,KZ,2022-08-01 15:45:08,50.4111,80.2275,72.12,54,75,4.63
253,Orissaare,EE,2022-08-01 15:45:09,58.5592,23.0826,67.95,84,100,9.19
254,Santa Cruz,BO,2022-08-01 15:44:24,-17.8,-63.1667,78.85,65,75,5.75
255,Komsomolskiy,UZ,2022-08-01 15:45:09,40.4272,71.7189,82.09,31,100,10.42
256,Kapra,IN,2022-08-01 15:45:10,17.4846,78.561,79.5,100,75,0.0
257,Mahebourg,MU,2022-08-01 15:45:10,-20.4081,57.7,68.29,94,75,12.66
258,Bethel,US,2022-08-01 15:42:48,41.3712,-73.414,75.56,83,100,4.61
259,Sikonge,TZ,2022-08-01 15:45:11,-5.6333,32.7667,77.65,33,64,0.6
260,Omsukchan,RU,2022-08-01 15:45:12,62.5333,155.8,44.37,97,63,6.85
261,Linhares,BR,2022-08-01 15:45:12,-19.3911,-40.0722,80.06,52,92,2.37
262,La Ronge,CA,2022-08-01 15:45:04,55.1001,-105.2842,61.02,82,75,3.44
263,Honningsvag,NO,2022-08-01 15:45:13,70.9821,25.9704,49.75,100,100,3.44
264,Castro,BR,2022-08-01 15:45:13,-24.7911,-50.0119,66.24,59,51,4.74
265,Aitape,PG,2022-08-01 15:45:13,-3.1374,142.3475,77.76,89,64,5.46
266,Udankudi,IN,2022-08-01 15:45:14,8.4333,78.0167,78.6,76,100,13.76
267,Viedma,AR,2022-08-01 15:45:14,-40.8135,-62.9967,54.32,47,100,6.64
268,Tacna,PE,2022-08-01 15:45:06,-18.0056,-70.2483,54.5,76,100,0.0
269,Cayenne,GF,2022-08-01 15:45:15,4.9333,-52.3333,91.44,36,75,3.44
270,Airai,TL,2022-08-01 15:46:15,-8.9266,125.4092,57.06,94,98,2.59
271,Suez,EG,2022-08-01 15:46:16,29.9737,32.5263,95.97,26,4,15.86
272,Fontenay-Le-Comte,FR,2022-08-01 15:46:16,46.5833,-1.0,86.45,26,65,12.35
273,Saint-Augustin,CA,2022-08-01 15:46:16,51.226,-58.6502,70.12,45,92,5.55
274,Belmonte,BR,2022-08-01 15:46:17,-15.8631,-38.8828,78.13,68,39,6.62
275,Laguna,US,2022-08-01 15:46:17,38.421,-121.4238,76.01,69,0,4.61
